2025-07-16 12:05:10,024 | DEBUG | reqId:E937E071C6ED461B92269212ACC7C86C | com.mt.web.registration.controller.CMSGenericFormController.createUserLogs(CMSGenericFormController.java:715) - Event date [Wed Jul 16 12:05:10 ICT 2025], Screen [40000196], Action event [100063], Transaction ID [FE82A55C29014080A785CF82DD61951A], MSISDN [null], Description [Request Data: [CustomerSearchReq[startDateTime=****************************,endDateTime=****************************,firstResult=1,maxResult=1000,map=StringObjectMap[SYS_REGISTRATION_TYPE_ID = 1,6,10, MOMO_PROFILE = , ] ,-,screenId=40000***,appActionId=100063,username=************,loginInstanceId=*****1**,trxId=***************************1951A,idCompany=1,createdDateTime=****************************,locale=EN]]], User [pipulwebcare]
2025-07-16 12:05:10,088 | DEBUG | reqId:E937E071C6ED461B92269212ACC7C86C | com.mt.formalyze.ui.jsf.action.data.JRMI.invoke(JRMI.java:57) - Task : CUSTOMER_SEARCH_COUNT_V5_REQ, Bean : CustomerSearchReq[startDateTime=****************************,endDateTime=****************************,firstResult=1,maxResult=1000,map=StringObjectMap[SYS_REGISTRATION_TYPE_ID = 1,6,10, MOMO_PROFILE = , ] ,-,screenId=40000***,appActionId=100063,username=************,loginInstanceId=**0*****,trxId=***************************1951A,idCompany=1,createdDateTime=****************************,locale=EN]
2025-07-16 12:05:10,091 | INFO | reqId:FE82A55C29014080A785CF82DD61951A | com.mt.formalyze.ui.jsf.action.data.CmiConnector.communicate(CmiConnector.java:86) - ReqMsg{id=FE82A55C29014080A785CF82DD61951A, name=CUSTOMER_SEARCH_COUNT_V5_REQ, dataObject=CustomerSearchReq[startDateTime=****************************,endDateTime=****************************,firstResult=1,maxResult=1000,map=StringObjectMap[SYS_REGISTRATION_TYPE_ID = 1,6,10, MOMO_PROFILE = , ] ,-,screenId=40000***,appActionId=100063,username=************,loginInstanceId=********,trxId=***************************1951A,idCompany=1,createdDateTime=****************************,locale=EN], datum=null}
2025-07-16 12:05:10,460 | INFO | reqId:FE82A55C29014080A785CF82DD61951A | com.mt.sb.cmix.CmiRequesterImpl.communicate(CmiRequesterImpl.java:73) - communicate to ISL-CORE.CUSTOMER_SEARCH_COUNT_V5_REQ.TA : tdiff msec: 367
2025-07-16 12:05:10,461 | INFO | reqId:FE82A55C29014080A785CF82DD61951A | com.mt.formalyze.ui.jsf.action.data.CmiConnector.communicate(CmiConnector.java:88) - RespMsg{id=FE82A55C29014080A785CF82DD61951A, name=CUSTOMER_SEARCH_COUNT_RESP, resultCode=ResultCode{code=200, desc=Success}, dataObject=CustomerSearchResp[countCustomer=4,trxId=***************************1951A,respCode=200,respDesc=Success,createdDateTime=*****************************, datum=null}
2025-07-16 12:05:10,462 | DEBUG | reqId:FE82A55C29014080A785CF82DD61951A | com.mt.web.registration.controller.CMSGenericFormController.createUserLogs(CMSGenericFormController.java:715) - Event date [Wed Jul 16 12:05:10 ICT 2025], Screen [40000196], Action event [100063], Transaction ID [FE82A55C29014080A785CF82DD61951A], MSISDN [null], Description [Response is success with Response Data: [ServerResponse[responseCode=200,responseDesc=The trx is success on the server,countCustomer=4,commonCredentialBean=CommonCredentialBean[maxWaitingToSend=0,confMap={}]]]], User [pipulwebcare]
2025-07-16 12:05:10,529 | DEBUG | reqId:FE82A55C29014080A785CF82DD61951A | com.mt.web.registration.controller.CMSGenericFormController.createUserLogs(CMSGenericFormController.java:715) - Event date [Wed Jul 16 12:05:10 ICT 2025], Screen [40000196], Action event [100063], Transaction ID [FE82A55C29014080A785CF82DD61951A], MSISDN [null], Description [Request Data: [CustomerSearchReq[startDateTime=****************************,endDateTime=****************************,firstResult=1,maxResult=4,map=StringObjectMap[SYS_REGISTRATION_TYPE_ID = 1,6,10, MOMO_PROFILE = , EXPORT_FILE = , ] ,-,screenId=40000***,appActionId=100063,username=************,loginInstanceId=********,trxId=***************************1951A,idCompany=1,createdDateTime=****************************,locale=EN]]], User [pipulwebcare]
2025-07-16 12:05:10,573 | DEBUG | reqId:FE82A55C29014080A785CF82DD61951A | com.mt.formalyze.ui.jsf.action.data.JRMI.invoke(JRMI.java:57) - Task : CUSTOMER_SEARCH_V5_REQ, Bean : CustomerSearchReq[startDateTime=****************************,endDateTime=****************************,firstResult=1,maxResult=4,map=StringObjectMap[SYS_REGISTRATION_TYPE_ID = 1,6,10, MOMO_PROFILE = , EXPORT_FILE = , ] ,-,screenId=40000***,appActionId=100063,username=************,loginInstanceId=*1*0****,trxId=***************************1951A,idCompany=1,createdDateTime=****************************,locale=EN]
2025-07-16 12:05:10,576 | INFO | reqId:FE82A55C29014080A785CF82DD61951A | com.mt.formalyze.ui.jsf.action.data.CmiConnector.communicate(CmiConnector.java:86) - ReqMsg{id=FE82A55C29014080A785CF82DD61951A, name=CUSTOMER_SEARCH_V5_REQ, dataObject=CustomerSearchReq[startDateTime=****************************,endDateTime=****************************,firstResult=1,maxResult=4,map=StringObjectMap[SYS_REGISTRATION_TYPE_ID = 1,6,10, MOMO_PROFILE = , EXPORT_FILE = , ] ,-,screenId=40000***,appActionId=100063,username=************,loginInstanceId=****0***,trxId=***************************1951A,idCompany=1,createdDateTime=****************************,locale=EN], datum=null}
2025-07-16 12:05:11,245 | INFO | reqId:FE82A55C29014080A785CF82DD61951A | com.mt.sb.cmix.CmiRequesterImpl.communicate(CmiRequesterImpl.java:73) - communicate to ISL-CORE.CUSTOMER_SEARCH_V5_REQ.TA : tdiff msec: 668
